,,median,25_percentile,75_percentile
11,50,183.16809,141.4007339,218.9706268
11,55,183.12198,140.422966,218.9962845
12,0,182.68633,139.1730652,218.9854202
12,5,181.93669,138.258091,218.4388008
12,10,181.54924,137.823616,217.6944885
12,15,180.889,136.4481087,217.3585892
12,20,180.24525,135.8929024,216.5590057
12,25,179.47577,134.8715973,215.7359543
12,30,178.59375,133.915947,214.6608925
12,35,177.5733,132.7041016,214.2685928
12,40,176.55743,131.2732086,213.3428726
12,45,175.70651,131.2114983,212.3681679
12,50,174.13596,130.9252625,211.3521423
12,55,173.05692,130.0093689,209.8950806
13,0,171.69318,128.6373444,208.1507645
13,5,169.79597,126.1192951,205.5831223
13,10,167.8894,123.671648,202.656517
13,15,165.53185,122.0686417,200.7355652
13,20,163.49026,120.3129597,198.7599564
13,25,161.48512,116.6592751,196.8316994
13,30,159.35751,113.9612179,194.6249733
13,35,157.22421,112.1346588,192.5674019
13,40,155.04767,109.3827934,190.6091766
13,45,153.04564,107.9224491,188.8812218
13,50,150.53287,106.009285,186.9812546
13,55,148.77847,103.7655067,185.2987938
14,0,146.17175,100.7178574,183.5459938
14,5,142.99722,98.06427002,178.5641479
14,10,139.77408,95.70827866,175.452301
14,15,136.442,92.57184601,172.0012283
14,20,132.86292,89.33839417,168.911953
14,25,130.18582,86.18828964,165.2033539
14,30,126.89914,82.61642075,162.3357239
14,35,123.80826,79.80056,158.9822083
14,40,119.81328,75.70511055,156.1851883
14,45,116.622246,71.02357674,153.5388374
14,50,112.60701,67.93422699,150.3779945
14,55,108.8525,64.21384239,148.1348
15,0,105.12543,60.54341221,145.6284485
15,5,102.60957,58.09754086,142.0262871
15,10,100.230385,55.70387363,138.6401596
15,15,97.84485,52.74030209,135.2588005
15,20,95.11687,51.1702795,132.2017021
15,25,92.302864,49.41792011,128.1687508
15,30,89.29477,47.66588211,124.5668888
15,35,86.43656,45.83412457,121.1141281
15,40,83.784515,43.55932808,117.1093407
15,45,80.42586,41.30532074,113.3046398
15,50,77.290955,38.97095108,109.5105324
15,55,74.33779,37.1263752,105.7756672
16,0,71.49074,34.28749752,102.3775425
16,5,67.78967,31.713624,98.24386787
16,10,64.498215,28.81873369,94.14578438
16,15,61.54979,25.98114777,89.67173386
16,20,58.462387,22.93848372,85.43590546
16,25,55.372765,19.51760292,81.48040962
16,30,51.606655,16.06881189,77.58909225
16,35,48.608337,13.2469418,73.4045372
16,40,45.33021,11.1268611,69.4327507
16,45,41.517525,8.151387215,65.20717621
16,50,38.557934,5.813767314,61.09331608
16,55,35.32987,2.53856945,56.84762669
17,0,31.87209,-0.751960248,52.60670662
17,5,27.324236,-4.174943447,47.70471859
17,10,23.08571,-8.109395504,42.81748295
17,15,18.921486,-11.77055931,38.00321007
17,20,14.776588,-14.74393559,33.7657299
17,25,9.148722,-18.13197994,29.25099277
17,30,5.30991,-20.89438868,24.99337006
17,35,0.78464365,-24.15602636,20.21374798
17,40,-3.5793126,-28.0330801,16.07431746
17,45,-8.063156,-31.23779678,11.65266347
17,50,-12.054864,-34.19372559,6.951325059
17,55,-15.217619,-37.17240524,2.118121803
18,0,-18.195202,-40.27236366,-1.054306507
18,5,-18.882265,-40.14030838,-1.77297315
18,10,-20.171518,-40.33423901,-2.789870739
18,15,-20.83741,-40.90116501,-3.970145106
18,20,-21.784761,-40.90156555,-5.052414417
18,25,-22.598022,-41.30148697,-6.474653721
18,30,-24.028378,-41.82817459,-7.71938324
18,35,-24.178608,-42.98327541,-9.301605701
18,40,-25.208477,-44.08062935,-10.3232305
18,45,-25.622665,-44.0481739,-11.77665615
18,50,-26.486618,-44.69297409,-13.07147551
18,55,-27.521343,-45.81915665,-14.28904057
19,0,-28.261175,-46.60294342,-14.96263504
19,5,-28.022434,-46.31955147,-14.94475865
19,10,-28.106533,-45.55225658,-15.35318136
19,15,-28.3428,-45.45594978,-15.50470829
19,20,-28.928005,-45.37049484,-15.66553068
19,25,-29.128311,-45.37303352,-16.17626143
19,30,-29.051727,-45.90059566,-16.46917057
19,35,-28.234585,-45.30180168,-16.16464186
19,40,-27.883026,-44.40383148,-15.84550858
19,45,-27.340977,-43.76119232,-15.63908839
19,50,-26.913939,-43.26930714,-15.2198689
19,55,-26.56743,-42.30112839,-14.81731272
20,0,-26.23283,-41.56841755,-14.64968657
20,5,-25.833252,-41.41466331,-14.42269421
20,10,-25.485039,-41.1653986,-14.09903717
20,15,-25.411917,-40.87908936,-14.00851178
20,20,-25.398418,-41.01448059,-14.04112697
20,25,-24.9193,-40.8298254,-14.06241226
20,30,-24.963032,-40.48695946,-13.48545671
20,35,-24.921276,-40.15239525,-13.16484046
20,40,-24.685833,-39.48309135,-13.00963545
20,45,-24.522667,-39.30632496,-12.74197698
20,50,-23.991894,-39.54093361,-12.36989832
20,55,-23.986927,-39.52525425,-12.29688334
21,0,-23.571344,-39.33111382,-11.95436192
21,5,-24.137756,-39.19463253,-12.54374146
21,10,-24.806684,-39.10896111,-13.16969275
21,15,-24.997868,-39.41886234,-13.55787873
21,20,-25.5503,-39.40486431,-13.72097564
21,25,-25.618996,-39.12172699,-14.28254151
21,30,-25.569946,-39.21890926,-14.73269677
21,35,-25.812675,-39.17775154,-14.97733736
21,40,-26.028685,-38.97137547,-15.14282489
21,45,-26.023567,-38.95427132,-15.12614059
21,50,-26.063593,-38.8452301,-15.1107688
21,55,-25.983313,-38.84069824,-15.14558339
22,0,-25.867035,-38.59564018,-15.41817474
22,5,-25.750765,-38.63237476,-15.61529112
22,10,-25.853205,-38.63565159,-15.60259247
22,15,-25.904684,-38.53141785,-15.60366869
22,20,-25.888046,-38.56036377,-15.68676972
22,25,-25.71867,-38.47478294,-15.72759485
