,,median,75_per_quantile,25_per_quantile
11,45,271.45593,320.0923691,181.9312592
11,50,271.5887,320.4930801,181.6313782
11,55,271.18347,319.8223572,181.9803429
12,0,269.19437,318.6338654,183.3323936
12,5,268.5866,317.4036331,183.3695679
12,10,267.6345,316.5097122,181.5818138
12,15,266.3645,315.3294754,180.5379066
12,20,264.92267,314.1298065,178.3019638
12,25,263.3595,312.9208374,177.4919853
12,30,262.5019,311.6074219,176.1138649
12,35,261.40753,309.9520874,174.8930092
12,40,259.8108,308.2685089,173.6405487
12,45,258.05267,307.2853851,172.8095779
12,50,256.52826,305.9550018,171.3490143
12,55,255.3273,303.9891357,169.3588142
13,0,253.2138,301.5860367,167.4590607
13,5,250.29597,298.54599,165.4479141
13,10,246.33836,295.4416656,163.2602234
13,15,243.63336,292.5269623,161.3953934
13,20,240.84074,289.8499832,159.5527153
13,25,238.2798,286.5163879,157.5782509
13,30,234.7594,283.7838745,154.4507904
13,35,231.91132,279.9598465,151.0603294
13,40,228.71152,276.2182693,148.9117241
13,45,224.72343,273.2035675,146.757019
13,50,222.42102,270.7249832,144.3402519
13,55,218.62103,267.1633987,140.4550247
14,0,214.68419,264.3669205,136.2101593
14,5,209.99362,259.6588516,132.1815147
14,10,203.51071,254.256012,127.55933
14,15,197.49057,247.7963333,124.7353535
14,20,190.3652,241.6962318,120.0537205
14,25,185.25394,236.596962,116.313488
14,30,181.12778,232.5732918,112.7325249
14,35,177.40004,227.7276459,107.0727539
14,40,171.24402,223.9518623,100.8717957
14,45,167.6024,219.9370499,96.68132401
14,50,163.04964,214.4663811,91.19882584
14,55,157.49017,211.5853004,86.66801643
15,0,151.56227,205.9540253,82.11756706
15,5,146.4833,201.2339058,78.81373024
15,10,142.3826,195.5276489,77.19472885
15,15,138.16129,190.6483078,73.8358326
15,20,135.80045,185.410778,69.28201294
15,25,132.75005,180.2062912,65.77966118
15,30,128.9141,174.9811172,63.06673622
15,35,124.529144,170.2040443,58.61674976
15,40,119.83325,165.463726,54.46767616
15,45,115.37982,160.5356026,50.8424139
15,50,110.38754,154.6294785,48.33423424
15,55,105.46814,149.6642761,44.47701454
16,0,100.45363,144.2497101,40.7232914
16,5,94.72354,138.0489578,35.86086464
16,10,89.59503,132.8418884,31.98039055
16,15,84.38486,127.2198505,27.89724541
16,20,79.073395,121.01194,22.47726488
16,25,73.646545,115.286787,19.45111322
16,30,67.69708,109.1350021,15.06685162
16,35,60.994774,103.0393085,10.62438941
16,40,54.93022,96.8191433,6.767039299
16,45,49.9899,90.97224236,2.00762105
